Date,Open,High,Low,Close,Volume
31-Dec-14,7.75,7.85,7.62,7.74,7833006
30-Dec-14,7.81,8.03,7.75,7.76,8227322
29-Dec-14,7.85,8.03,7.82,7.89,12117410
26-Dec-14,7.79,8.05,7.75,7.80,7673998
24-Dec-14,7.92,8.00,7.70,7.71,6494947
23-Dec-14,7.94,8.22,7.85,7.96,8793605
22-Dec-14,8.55,8.62,7.62,7.92,20836680
19-Dec-14,8.15,8.55,8.07,8.55,14431681
18-Dec-14,8.18,8.30,7.90,8.09,14380691
17-Dec-14,7.75,8.15,7.71,7.96,13866492
16-Dec-14,7.30,7.97,7.30,7.70,20622058
15-Dec-14,7.40,7.60,7.24,7.28,14400711
12-Dec-14,7.33,7.71,7.23,7.37,11972824
11-Dec-14,7.74,7.82,7.33,7.41,17373310
10-Dec-14,8.57,8.57,7.76,7.77,18239579
9-Dec-14,8.05,8.71,8.01,8.68,14868586
8-Dec-14,8.87,8.87,8.20,8.24,13652704
5-Dec-14,8.83,9.19,8.76,8.89,11379128
4-Dec-14,9.18,9.19,8.73,8.88,19156421
3-Dec-14,9.40,9.93,9.15,9.19,19872731
2-Dec-14,9.43,9.74,9.30,9.42,14498014
1-Dec-14,10.02,10.04,9.29,9.35,22794863
28-Nov-14,10.49,10.50,10.03,10.11,11416265
26-Nov-14,11.05,11.06,10.73,10.83,7360024
25-Nov-14,11.14,11.21,10.87,10.99,16992795
24-Nov-14,11.41,11.55,11.03,11.16,9129907
21-Nov-14,11.48,11.82,11.30,11.44,12081579
20-Nov-14,10.65,11.18,10.62,11.14,9857539
19-Nov-14,11.16,11.16,10.61,10.79,13545016
18-Nov-14,11.48,11.58,11.18,11.26,7879372
17-Nov-14,11.38,11.74,11.14,11.52,14657542
14-Nov-14,10.89,11.59,10.89,11.39,14055561
13-Nov-14,11.56,11.63,10.85,11.03,10644435
12-Nov-14,10.99,11.83,10.88,11.60,20432815
11-Nov-14,11.33,11.39,11.02,11.13,8513794
10-Nov-14,11.80,11.96,11.21,11.40,14203087
7-Nov-14,10.88,11.81,10.81,11.64,20955978
6-Nov-14,10.94,11.25,10.80,10.84,17023950
5-Nov-14,10.50,10.93,10.26,10.78,17379966
4-Nov-14,10.44,10.44,10.05,10.29,15292428
3-Nov-14,10.50,10.84,10.37,10.52,11251580
31-Oct-14,10.27,10.48,9.98,10.43,9722439
30-Oct-14,10.29,10.45,10.15,10.25,8275960
29-Oct-14,10.50,10.61,10.15,10.35,9263786
28-Oct-14,10.22,10.57,10.14,10.44,17305752
27-Oct-14,10.20,10.31,9.91,10.01,11956621
24-Oct-14,10.44,10.59,10.29,10.40,9491367
23-Oct-14,10.38,10.66,10.28,10.43,9912251
22-Oct-14,10.84,11.05,10.27,10.31,12075652
21-Oct-14,10.62,10.98,10.45,10.85,14263598
20-Oct-14,11.24,11.75,10.31,10.46,17867301
17-Oct-14,11.49,11.52,10.76,11.03,14842603
16-Oct-14,10.45,11.56,10.38,11.29,18511961
15-Oct-14,10.46,11.01,10.06,10.88,22441744
14-Oct-14,10.42,11.27,10.22,10.80,15771273
13-Oct-14,10.30,10.70,10.16,10.30,15323393
10-Oct-14,10.18,10.48,10.00,10.11,13452665
9-Oct-14,11.15,11.16,10.15,10.24,18697985
8-Oct-14,10.95,11.32,10.58,11.28,14354709
