Date,Open,High,Low,Close,Volume
31-Dec-14,111.65,113.31,111.53,112.18,6411795
30-Dec-14,112.93,113.65,112.15,113.11,5659510
29-Dec-14,113.44,114.38,112.78,113.32,6042973
26-Dec-14,113.93,114.35,112.82,113.25,4380437
24-Dec-14,113.66,114.14,112.07,113.47,4538653
23-Dec-14,112.76,114.45,112.32,113.95,8091980
22-Dec-14,112.36,112.99,111.07,112.03,9433516
19-Dec-14,109.53,112.96,108.50,112.93,15723273
18-Dec-14,108.01,109.03,105.49,109.03,13533046
17-Dec-14,102.18,106.59,102.01,106.02,13360021
16-Dec-14,100.50,104.47,100.15,101.70,12722183
15-Dec-14,103.13,103.91,100.42,100.86,13144238
12-Dec-14,103.76,104.35,102.37,102.38,12013618
11-Dec-14,104.97,107.27,104.30,104.91,10293571
10-Dec-14,106.22,106.25,103.07,104.86,15073426
9-Dec-14,106.17,108.15,106.13,107.01,11059408
8-Dec-14,109.89,109.94,106.41,106.80,13809036
5-Dec-14,111.79,112.29,110.71,110.87,7663357
4-Dec-14,113.08,113.08,111.01,112.28,8242715
3-Dec-14,114.74,114.82,113.15,113.71,8058904
2-Dec-14,111.27,114.56,110.89,114.02,8548700
1-Dec-14,109.38,112.49,108.68,111.73,13400104
28-Nov-14,111.59,111.69,108.43,108.87,11935566
26-Nov-14,116.07,116.35,115.02,115.11,6715848
25-Nov-14,117.80,117.82,115.63,116.15,6671395
24-Nov-14,118.13,118.58,117.15,117.59,5807601
21-Nov-14,118.79,118.91,117.73,118.58,7361563
20-Nov-14,116.16,117.47,116.16,117.31,5272801
19-Nov-14,115.97,116.68,115.07,116.47,4270319
18-Nov-14,115.97,116.63,115.25,115.47,5677322
17-Nov-14,115.96,116.15,115.27,115.75,5713725
14-Nov-14,115.70,116.35,115.42,116.32,4891687
13-Nov-14,117.09,117.47,115.64,116.45,11019889
12-Nov-14,117.86,118.71,117.38,117.65,4923889
11-Nov-14,117.95,118.67,117.30,118.44,3957455
10-Nov-14,119.58,119.67,117.31,117.92,6114563
7-Nov-14,118.75,119.73,118.36,118.80,7366568
6-Nov-14,116.90,118.55,116.36,118.53,6383773
5-Nov-14,117.27,117.30,114.86,117.05,6603319
4-Nov-14,115.99,116.02,114.80,115.37,9585771
3-Nov-14,119.83,119.97,116.46,116.78,10341474
31-Oct-14,118.35,120.17,116.39,119.95,10671453
30-Oct-14,116.18,117.25,115.57,117.20,5174430
29-Oct-14,118.00,118.93,116.10,117.14,6873675
28-Oct-14,116.17,117.27,115.16,117.13,7274132
27-Oct-14,114.38,115.37,113.46,115.02,6721122
24-Oct-14,116.19,116.26,114.53,115.91,5508970
23-Oct-14,116.00,117.32,114.95,116.19,7195681
22-Oct-14,115.20,116.24,113.91,114.00,7211577
21-Oct-14,113.18,115.17,112.91,115.09,8904866
20-Oct-14,111.53,112.28,110.97,111.49,8830023
17-Oct-14,111.78,112.74,110.73,111.80,10897892
16-Oct-14,107.96,111.32,107.20,111.06,11908643
15-Oct-14,108.57,109.50,106.65,109.27,15279216
14-Oct-14,112.60,113.05,109.10,109.78,11541488
