Date,Open,High,Low,Close,Volume
31-Dec-14,67.08,67.42,65.95,66.01,2064628
30-Dec-14,68.40,68.40,66.77,66.91,1915994
29-Dec-14,67.67,68.92,67.67,68.50,2462271
26-Dec-14,67.08,68.15,66.92,67.76,2086829
24-Dec-14,66.05,67.12,66.03,66.91,1236742
23-Dec-14,65.99,66.29,65.79,66.01,1591963
22-Dec-14,66.05,66.26,65.38,65.94,1639211
19-Dec-14,65.64,66.06,65.27,65.69,3543436
18-Dec-14,64.80,65.56,64.55,65.56,2653404
17-Dec-14,64.00,64.81,63.72,64.78,3116531
16-Dec-14,64.12,65.05,63.63,64.14,2767659
15-Dec-14,64.40,64.40,63.59,64.05,2663346
12-Dec-14,64.18,64.98,64.04,64.11,1989228
11-Dec-14,63.43,64.59,63.43,64.43,1796761
10-Dec-14,63.98,64.48,63.39,63.42,1392071
9-Dec-14,63.72,64.20,63.50,64.05,1776130
8-Dec-14,63.26,64.11,63.17,63.91,1512218
5-Dec-14,63.59,63.96,62.88,63.26,2250487
4-Dec-14,64.01,64.34,63.63,64.07,1638234
3-Dec-14,64.16,64.19,63.59,63.93,2341509
2-Dec-14,63.82,64.25,63.47,64.18,2438362
1-Dec-14,62.93,64.54,62.62,63.83,2896667
28-Nov-14,62.53,63.33,62.36,63.15,1113803
26-Nov-14,61.97,62.53,61.87,62.33,1419454
25-Nov-14,62.18,62.22,61.45,61.65,2565805
24-Nov-14,62.25,62.46,61.80,61.89,2188102
21-Nov-14,62.46,62.47,61.72,62.37,2617968
20-Nov-14,62.31,62.65,61.92,62.12,1843211
19-Nov-14,62.43,62.64,62.03,62.34,2272147
18-Nov-14,62.84,63.26,62.44,63.03,2166792
17-Nov-14,61.93,62.73,61.58,62.54,2383589
14-Nov-14,62.12,62.41,61.80,62.03,1557449
13-Nov-14,62.05,62.74,61.81,62.00,3369403
12-Nov-14,62.96,63.09,62.06,62.25,3081442
11-Nov-14,63.48,63.88,63.25,63.46,1721231
10-Nov-14,63.39,63.93,63.27,63.47,2361765
7-Nov-14,62.65,63.64,62.61,63.57,2726534
6-Nov-14,64.54,64.54,63.10,63.25,4114045
5-Nov-14,63.69,64.73,63.54,64.64,3655249
4-Nov-14,63.69,64.00,63.21,63.38,1572345
3-Nov-14,63.33,63.75,63.20,63.60,1892513
31-Oct-14,63.94,64.00,63.00,63.36,2521079
30-Oct-14,62.45,63.56,62.37,63.54,2803237
29-Oct-14,62.85,62.99,61.68,62.28,2723260
28-Oct-14,62.78,62.89,62.18,62.88,1770316
27-Oct-14,62.50,63.00,62.37,62.69,2111549
24-Oct-14,62.10,62.57,61.89,62.50,1480843
23-Oct-14,62.06,62.37,61.56,62.01,2311206
22-Oct-14,61.00,61.95,60.93,61.90,3705226
21-Oct-14,61.02,61.23,60.72,61.07,3477963
20-Oct-14,60.75,61.52,60.74,61.46,2701790
17-Oct-14,61.34,61.34,59.80,60.70,3856076
16-Oct-14,60.67,61.35,60.26,60.92,4188171
15-Oct-14,61.45,62.10,60.02,61.46,5170128
14-Oct-14,60.08,62.13,59.88,61.57,6853471
13-Oct-14,59.15,60.43,59.10,59.82,5276851
10-Oct-14,58.51,59.39,58.51,59.13,3468445
9-Oct-14,58.72,59.23,58.14,58.20,3741572
8-Oct-14,57.19,58.81,57.17,58.77,4043537
7-Oct-14,57.06,57.59,56.92,57.14,2012195
6-Oct-14,57.20,57.43,56.93,57.20,1363717
3-Oct-14,56.82,57.18,56.40,57.03,1180507
2-Oct-14,56.98,57.30,56.76,56.80,1355432
1-Oct-14,56.87,57.35,56.77,56.94,2245342
30-Sep-14,56.65,57.09,56.30,56.66,1977506
29-Sep-14,56.28,56.58,56.05,56.53,1356480
26-Sep-14,56.16,56.52,55.80,56.35,1013851
25-Sep-14,56.39,56.64,56.15,56.15,1531963
24-Sep-14,56.81,56.88,56.25,56.53,1136918
23-Sep-14,56.78,57.09,56.60,56.75,1359230
22-Sep-14,56.91,57.18,56.64,56.87,1603651
19-Sep-14,56.87,57.24,56.70,57.13,1715277
18-Sep-14,57.01,57.22,56.48,56.63,1305048
17-Sep-14,57.26,57.37,56.71,57.02,1753070
16-Sep-14,56.70,57.38,56.70,57.24,1579847
15-Sep-14,56.71,56.91,56.35,56.54,1517464
12-Sep-14,57.05,57.19,56.28,56.43,1803557
11-Sep-14,56.89,57.35,56.68,57.28,933514
10-Sep-14,56.94,57.04,56.58,56.83,1537036
9-Sep-14,57.43,57.56,56.82,56.93,2066798
8-Sep-14,58.02,58.10,57.28,57.60,1597641
5-Sep-14,57.58,58.12,57.42,58.12,2352226
