Date,Open,High,Low,Close,Volume
31-Dec-14,91.97,93.55,90.75,92.07,3329161
30-Dec-14,93.50,94.33,91.89,92.70,3379372
29-Dec-14,94.55,95.21,93.45,94.33,3396978
26-Dec-14,94.90,95.20,93.33,93.82,2210553
24-Dec-14,95.61,95.64,92.51,94.05,3015309
23-Dec-14,95.74,97.27,94.54,96.41,4251671
22-Dec-14,94.21,95.62,93.68,95.06,6746568
19-Dec-14,93.63,95.09,92.45,95.02,7853411
18-Dec-14,93.83,94.39,88.90,92.45,8888550
17-Dec-14,87.61,92.21,86.11,91.14,10269454
16-Dec-14,83.86,89.39,83.78,85.47,8312974
15-Dec-14,87.09,88.16,84.94,85.34,6866988
12-Dec-14,85.31,88.42,85.10,86.37,6611854
11-Dec-14,87.19,89.76,86.13,86.86,5808149
10-Dec-14,86.38,87.26,85.54,86.79,8821704
9-Dec-14,87.00,91.12,86.77,89.15,8197573
8-Dec-14,89.08,89.50,87.51,88.19,8672236
5-Dec-14,91.91,92.05,89.78,90.75,7572506
4-Dec-14,90.79,93.00,89.75,93.00,5112581
3-Dec-14,91.71,93.60,90.80,91.80,6243943
2-Dec-14,87.38,91.33,86.87,90.30,10159637
1-Dec-14,85.52,87.58,83.66,87.24,10063494
28-Nov-14,87.16,88.43,85.19,86.72,9472136
26-Nov-14,96.62,96.63,93.86,94.07,5346334
25-Nov-14,100.28,100.32,96.72,96.74,5591953
24-Nov-14,101.18,101.74,99.25,99.56,4110890
21-Nov-14,102.49,103.04,101.29,101.74,6378712
20-Nov-14,98.45,100.29,98.34,99.44,4624090
19-Nov-14,98.75,98.80,96.78,98.33,3830803
18-Nov-14,96.32,98.26,96.09,97.67,3917678
17-Nov-14,97.01,97.38,95.73,96.35,4349405
14-Nov-14,96.32,98.36,96.20,98.16,3992708
13-Nov-14,96.50,97.44,94.47,95.85,5859272
12-Nov-14,98.68,99.35,97.35,97.56,3433698
11-Nov-14,98.50,99.07,97.11,98.75,4276835
10-Nov-14,101.01,102.25,97.99,98.50,5947797
7-Nov-14,99.72,101.58,99.27,99.55,7009155
6-Nov-14,95.19,99.18,95.11,98.97,8202186
5-Nov-14,95.50,97.47,93.56,96.10,11401915
4-Nov-14,89.67,90.99,89.00,90.28,8207985
3-Nov-14,95.05,96.81,92.89,93.32,7006687
31-Oct-14,91.95,95.10,90.74,95.05,5495238
30-Oct-14,92.57,93.29,91.03,92.22,3746187
29-Oct-14,94.24,95.32,91.76,93.13,5926201
28-Oct-14,88.81,91.91,87.55,91.50,6123604
27-Oct-14,90.28,90.28,86.95,88.43,7435920
24-Oct-14,92.95,93.02,90.20,92.10,5418293
23-Oct-14,94.24,94.84,92.40,93.40,9219270
22-Oct-14,96.76,97.00,91.98,92.07,7673474
21-Oct-14,94.35,96.15,94.27,96.03,6299027
20-Oct-14,91.63,93.13,90.77,92.76,4420632
17-Oct-14,94.20,95.55,90.26,91.22,8665807
16-Oct-14,85.19,92.52,85.19,91.27,10111528
15-Oct-14,82.03,88.53,81.07,88.17,11110299
14-Oct-14,85.40,86.88,83.50,83.84,12229591
13-Oct-14,89.25,90.30,83.58,83.76,9448894
10-Oct-14,91.07,91.95,88.61,89.83,9915862
9-Oct-14,93.64,93.73,90.88,91.96,9684979
8-Oct-14,93.31,94.69,90.80,94.56,7724576
7-Oct-14,95.02,96.02,93.57,93.61,5518926
6-Oct-14,96.84,97.00,94.36,95.09,5115314
3-Oct-14,97.71,97.72,95.57,96.57,4433900
2-Oct-14,95.76,97.64,94.27,97.06,5382663
1-Oct-14,99.21,99.73,96.15,96.85,5857099
30-Sep-14,101.85,101.85,97.45,99.02,6424066
29-Sep-14,100.80,102.06,100.10,101.87,4301482
26-Sep-14,100.37,102.41,100.21,101.88,3327471
25-Sep-14,102.64,102.70,100.14,100.36,3591610
24-Sep-14,100.94,102.87,99.55,102.14,4585582
23-Sep-14,101.55,101.63,100.45,100.84,5577332
22-Sep-14,103.82,103.86,100.57,101.74,4437043
19-Sep-14,105.24,105.90,103.96,104.37,6346213
18-Sep-14,105.82,105.99,104.21,104.98,3003894
17-Sep-14,105.65,106.09,104.52,105.19,3689602
16-Sep-14,102.33,105.90,101.75,105.22,4117680
15-Sep-14,100.80,102.41,100.12,101.91,3056044
12-Sep-14,102.50,102.57,101.03,101.32,3699845
11-Sep-14,100.93,103.13,100.50,103.06,4596770
10-Sep-14,100.93,102.14,99.33,102.01,3717147
9-Sep-14,101.63,102.49,100.82,101.31,3636027
8-Sep-14,104.07,104.07,100.75,101.41,5549802
5-Sep-14,104.35,105.29,103.05,105.18,3236407
4-Sep-14,107.76,107.99,103.97,104.61,3937570
3-Sep-14,108.85,109.08,107.46,107.74,1479234
2-Sep-14,109.57,109.85,107.08,107.71,2755508
29-Aug-14,108.80,109.98,108.37,109.88,1802696
28-Aug-14,108.32,109.08,108.10,108.39,1757040
27-Aug-14,109.43,109.45,108.07,108.61,1996698
26-Aug-14,108.86,110.47,108.50,109.40,3285701
25-Aug-14,106.93,108.25,106.60,107.94,1938369
22-Aug-14,106.59,106.84,105.61,106.27,2075667
21-Aug-14,107.50,107.52,106.02,107.19,2138759
20-Aug-14,107.09,107.45,106.10,107.28,2185882
19-Aug-14,106.10,107.35,105.66,107.03,3147466
18-Aug-14,106.65,106.91,104.66,105.43,3276046
15-Aug-14,103.97,106.42,103.67,106.09,4557934
14-Aug-14,107.22,107.23,103.57,103.93,3490654
13-Aug-14,107.66,107.88,106.22,106.35,2337379
12-Aug-14,107.89,108.49,106.34,106.69,3265911
11-Aug-14,108.72,109.00,107.92,108.30,2760744
8-Aug-14,106.07,107.90,106.07,107.78,2354184
7-Aug-14,107.63,107.63,105.40,106.06,2977507
6-Aug-14,107.03,108.51,105.63,106.64,5007977
5-Aug-14,111.81,111.81,107.51,108.63,4850181
4-Aug-14,108.74,112.12,108.08,111.81,3007100
1-Aug-14,108.65,109.81,107.16,108.04,3966436
31-Jul-14,112.84,113.09,109.37,109.44,4162781
30-Jul-14,114.83,115.44,113.36,113.63,1779381
29-Jul-14,113.27,115.33,113.19,114.24,2502920
28-Jul-14,114.82,115.02,113.00,113.39,2993483
25-Jul-14,115.58,115.86,114.40,114.82,1981201
24-Jul-14,116.48,116.93,115.70,116.20,2864399
23-Jul-14,116.70,116.70,115.30,115.95,3621590
22-Jul-14,116.75,117.62,115.80,116.55,2600588
21-Jul-14,115.86,116.42,115.12,116.15,1594977
18-Jul-14,115.36,116.39,114.34,116.04,2605225
17-Jul-14,117.48,118.81,115.35,115.55,2288182
16-Jul-14,114.62,117.28,114.17,117.10,3182834
15-Jul-14,114.91,115.62,112.64,113.44,3367679
14-Jul-14,114.65,116.05,114.31,115.69,2956255
11-Jul-14,115.74,115.74,113.39,113.65,2482078
10-Jul-14,114.88,115.88,113.76,114.96,2212687
9-Jul-14,116.10,116.63,115.19,116.56,1938840
8-Jul-14,115.37,116.55,115.13,115.98,2511389
7-Jul-14,116.40,116.50,115.42,115.73,1574664
3-Jul-14,116.27,117.02,115.11,116.75,1677892
2-Jul-14,116.86,117.59,115.54,116.23,2649906
1-Jul-14,117.44,117.94,116.02,116.55,2793819
30-Jun-14,116.08,117.19,115.85,116.86,2344837
27-Jun-14,115.23,115.93,114.71,115.84,2801758
26-Jun-14,115.68,115.82,114.07,115.42,2355128
25-Jun-14,113.32,116.25,113.32,116.02,3456736
24-Jun-14,117.18,117.45,112.24,113.02,4577977
23-Jun-14,118.52,118.89,116.95,117.41,3329234
20-Jun-14,117.05,118.39,116.15,117.98,5556996
19-Jun-14,113.14,115.85,112.52,115.80,3866483
18-Jun-14,112.58,113.84,111.74,113.54,2912510
17-Jun-14,113.95,113.95,111.26,112.39,5247698
16-Jun-14,115.21,115.21,113.02,114.03,4075258
13-Jun-14,111.77,114.06,110.53,114.02,3130101
12-Jun-14,111.46,113.02,111.22,111.63,3800762
11-Jun-14,108.25,110.91,108.14,110.70,2684063
10-Jun-14,109.39,109.75,108.41,108.69,2174742
9-Jun-14,110.09,110.75,109.00,109.51,2366345
6-Jun-14,108.14,109.56,108.04,109.32,2151401
5-Jun-14,106.35,107.91,105.82,107.90,2212057
4-Jun-14,106.48,106.73,105.56,106.37,1695842
3-Jun-14,105.45,106.66,105.27,106.66,1975029
2-Jun-14,105.95,106.00,104.95,105.38,1712411
30-May-14,106.27,106.36,105.25,105.80,2291034
29-May-14,105.42,106.71,105.00,106.67,2565461
28-May-14,104.86,105.63,104.40,105.19,2725834
27-May-14,104.44,104.97,103.75,104.73,2072530
23-May-14,103.89,105.15,103.44,103.97,2535088
22-May-14,104.29,105.17,103.53,103.68,2458417
21-May-14,102.70,104.36,102.13,104.16,1777722
20-May-14,102.22,102.95,101.47,101.89,1937664
19-May-14,102.50,103.36,101.96,102.30,1832776
16-May-14,102.57,102.88,101.34,102.50,2846309
15-May-14,103.97,103.98,101.55,102.74,2608089
14-May-14,105.39,105.49,103.86,103.90,2415023
13-May-14,104.58,105.50,104.07,105.17,3426618
12-May-14,102.57,103.73,101.98,103.64,3351934
9-May-14,102.00,102.30,100.64,102.28,3709705
8-May-14,104.03,104.56,101.62,101.73,3265809
7-May-14,104.61,105.45,102.64,104.79,5705837
6-May-14,102.80,106.50,101.84,103.63,8515778
5-May-14,96.04,99.71,96.01,99.25,4766434
2-May-14,97.30,98.25,96.82,97.06,3712934
1-May-14,98.33,98.77,96.81,97.12,4240561
30-Apr-14,99.07,99.20,97.01,98.00,6297708
29-Apr-14,98.88,101.23,98.83,99.62,4089133
28-Apr-14,99.94,100.00,96.53,98.06,5112184
25-Apr-14,103.25,103.30,98.52,99.04,7169791
24-Apr-14,105.50,105.50,103.42,103.48,3715985
23-Apr-14,102.53,105.18,102.53,105.08,3445732
22-Apr-14,103.27,103.27,102.11,102.34,3332773
21-Apr-14,102.98,103.58,101.84,103.53,2404788
17-Apr-14,100.84,102.84,100.84,102.45,3253213
16-Apr-14,101.48,102.20,100.43,101.01,3650994
15-Apr-14,99.63,101.68,99.52,101.11,4695789
14-Apr-14,99.52,100.10,98.72,99.96,3427874
11-Apr-14,97.67,99.44,97.57,98.63,4581572
10-Apr-14,98.63,99.99,97.56,98.11,4706319
9-Apr-14,98.94,99.17,97.99,98.95,3826712
8-Apr-14,97.78,99.58,97.54,98.71,3293647
7-Apr-14,99.72,99.98,97.45,97.93,3146581
4-Apr-14,102.67,103.30,98.95,99.77,4030144
3-Apr-14,99.33,101.50,99.26,100.65,5219482
2-Apr-14,98.27,99.45,98.02,99.11,2858190
1-Apr-14,99.38,100.36,98.26,98.98,3422983
31-Mar-14,99.24,99.75,97.52,98.08,4142808
28-Mar-14,97.24,99.41,97.06,98.58,4051242
27-Mar-14,96.14,97.70,96.01,96.73,3535222
26-Mar-14,96.28,97.66,95.95,96.06,4117322
25-Mar-14,95.59,96.48,95.45,95.78,3819058
