Date,Open,High,Low,Close,Volume
31-Dec-14,28.15,28.80,27.94,28.29,6082724
30-Dec-14,28.31,28.71,28.08,28.42,4477390
29-Dec-14,28.50,28.94,28.36,28.58,4901633
26-Dec-14,28.53,28.67,28.13,28.26,3280691
24-Dec-14,28.50,28.59,27.92,28.36,3238412
23-Dec-14,28.52,28.80,28.23,28.70,8052092
22-Dec-14,28.18,28.70,27.85,28.27,10721154
19-Dec-14,27.76,28.35,27.26,28.23,17719397
18-Dec-14,28.46,28.49,26.81,27.56,19714331
17-Dec-14,25.41,27.17,25.28,26.67,15846479
16-Dec-14,24.39,26.02,24.28,25.31,13011365
15-Dec-14,25.79,25.88,24.64,24.80,9969602
12-Dec-14,25.74,26.33,25.30,25.45,11411400
11-Dec-14,26.45,26.95,26.15,26.25,8571328
10-Dec-14,27.14,27.18,26.32,26.43,10365036
9-Dec-14,27.15,27.97,27.05,27.78,11294769
8-Dec-14,28.97,29.17,27.16,27.25,12535095
5-Dec-14,29.77,29.87,29.12,29.23,8508861
4-Dec-14,30.24,30.30,29.81,29.84,8888097
3-Dec-14,30.10,31.01,29.82,30.53,9051791
2-Dec-14,28.90,30.13,28.74,29.73,13241433
1-Dec-14,28.52,29.04,28.22,28.99,11985657
28-Nov-14,30.81,30.82,28.55,28.92,8542602
26-Nov-14,33.09,33.16,32.48,32.50,5356587
25-Nov-14,33.59,33.74,32.88,33.11,6013758
24-Nov-14,33.67,33.89,33.36,33.57,5734690
21-Nov-14,33.91,34.16,33.57,33.83,7244014
20-Nov-14,32.81,33.38,32.74,33.28,5940067
19-Nov-14,32.07,32.94,31.90,32.77,7552455
18-Nov-14,31.73,32.24,31.68,32.06,5513546
17-Nov-14,31.89,32.17,31.52,31.82,6130040
14-Nov-14,32.07,32.51,31.89,32.36,6098723
13-Nov-14,32.62,32.62,31.61,31.95,8212912
12-Nov-14,32.99,33.36,32.58,32.65,7131637
11-Nov-14,33.38,33.61,32.90,33.13,6345631
10-Nov-14,34.66,34.97,33.10,33.25,12915593
7-Nov-14,34.47,35.02,34.27,34.39,9862871
6-Nov-14,33.60,34.35,33.21,34.34,8647962
5-Nov-14,33.61,34.37,33.42,33.57,8342345
4-Nov-14,34.09,34.26,32.88,33.36,9431970
3-Nov-14,35.56,35.78,34.45,34.57,8408242
31-Oct-14,34.20,35.50,33.67,35.40,8286718
30-Oct-14,34.23,34.36,33.88,34.11,4738852
29-Oct-14,34.56,34.86,34.06,34.38,4793263
28-Oct-14,33.35,34.32,33.19,34.27,7575841
27-Oct-14,33.90,33.93,32.99,33.00,8299942
24-Oct-14,34.63,34.72,34.13,34.50,3703997
23-Oct-14,34.45,35.10,34.35,34.73,6567003
22-Oct-14,34.97,35.17,34.02,34.03,7197096
21-Oct-14,34.55,34.99,34.32,34.88,5679863
20-Oct-14,33.80,34.45,33.61,34.26,5146616
17-Oct-14,33.95,34.48,33.66,33.93,9648046
16-Oct-14,32.55,33.88,31.94,33.50,12782108
15-Oct-14,31.94,32.78,31.35,32.73,10577784
14-Oct-14,33.10,33.56,32.40,32.55,9099554
13-Oct-14,34.28,34.59,32.91,32.92,8138942
10-Oct-14,34.75,34.99,33.98,34.23,7416402
9-Oct-14,35.91,36.01,34.66,34.71,6450384
8-Oct-14,35.81,36.19,35.11,36.16,5906529
7-Oct-14,36.42,36.62,35.84,35.84,4464248
6-Oct-14,36.75,36.96,36.38,36.63,5473694
3-Oct-14,36.96,37.00,36.32,36.65,4385426
2-Oct-14,36.84,37.08,35.95,36.90,5336350
1-Oct-14,37.59,38.04,36.96,37.13,5984086
30-Sep-14,38.51,38.59,37.31,37.59,6082112
29-Sep-14,38.07,38.72,37.91,38.60,3938279
26-Sep-14,38.09,38.77,37.94,38.54,3357523
