Date,Open,High,Low,Close,Volume
31-Dec-14,3.10,3.15,3.00,3.00,4167380
30-Dec-14,3.12,3.21,3.10,3.12,4927709
29-Dec-14,3.08,3.22,3.07,3.13,5836178
26-Dec-14,3.00,3.15,3.00,3.08,4362647
24-Dec-14,3.00,3.05,2.96,3.05,2203888
23-Dec-14,3.04,3.06,2.93,3.06,3448766
22-Dec-14,3.08,3.12,2.99,3.05,3674139
19-Dec-14,2.91,3.08,2.85,3.05,6478913
18-Dec-14,3.09,3.12,2.86,2.92,7102472
17-Dec-14,2.73,2.98,2.73,2.94,6951938
16-Dec-14,2.64,2.89,2.60,2.73,6787926
15-Dec-14,3.00,3.03,2.73,2.77,6805889
12-Dec-14,3.03,3.05,2.86,2.93,7475168
11-Dec-14,3.18,3.27,3.09,3.10,4095006
10-Dec-14,3.29,3.35,3.13,3.19,5194839
9-Dec-14,3.25,3.30,3.06,3.28,8231752
8-Dec-14,3.54,3.61,3.24,3.37,9888339
5-Dec-14,3.74,3.78,3.55,3.60,5914354
4-Dec-14,3.92,4.02,3.64,3.70,16592058
3-Dec-14,3.59,3.63,3.46,3.50,4960953
2-Dec-14,3.52,3.69,3.45,3.60,4176025
1-Dec-14,3.75,3.77,3.42,3.54,8053388
28-Nov-14,3.90,3.93,3.79,3.82,4221129
26-Nov-14,3.99,4.00,3.92,3.96,2178718
25-Nov-14,3.96,4.03,3.96,4.00,2680069
24-Nov-14,3.93,3.98,3.88,3.95,2622176
21-Nov-14,4.00,4.04,3.90,3.93,3062779
20-Nov-14,3.90,3.94,3.83,3.94,3130130
19-Nov-14,4.03,4.16,3.95,3.96,8037175
18-Nov-14,3.82,4.08,3.77,4.04,12455969
17-Nov-14,3.82,3.84,3.70,3.72,6314123
14-Nov-14,3.99,4.01,3.60,3.72,17632634
13-Nov-14,4.24,4.32,4.01,4.06,10420892
12-Nov-14,4.35,4.48,4.20,4.24,24916975
11-Nov-14,5.31,5.34,5.05,5.08,6002089
10-Nov-14,5.35,5.46,5.22,5.28,6136888
7-Nov-14,5.15,5.30,5.02,5.30,6033756
6-Nov-14,5.02,5.24,4.99,5.12,6253433
5-Nov-14,5.46,5.46,4.94,4.96,13472783
4-Nov-14,5.21,5.48,5.16,5.35,18947284
3-Nov-14,4.82,5.40,4.81,5.14,24442117
31-Oct-14,4.56,4.75,4.52,4.71,10974147
30-Oct-14,4.40,4.55,4.35,4.49,6599383
29-Oct-14,4.41,4.48,4.31,4.44,4178345
28-Oct-14,4.27,4.48,4.27,4.42,5349685
27-Oct-14,4.30,4.32,4.25,4.30,2333660
24-Oct-14,4.33,4.35,4.25,4.34,3439404
23-Oct-14,4.31,4.38,4.25,4.30,2709527
22-Oct-14,4.38,4.43,4.28,4.29,3534189
21-Oct-14,4.46,4.50,4.37,4.41,3932163
20-Oct-14,4.33,4.52,4.32,4.45,6860843
17-Oct-14,4.48,4.50,4.34,4.38,4190533
16-Oct-14,4.24,4.45,4.21,4.40,4433016
15-Oct-14,4.25,4.42,4.16,4.37,6450645
