Date,Open,High,Low,Close,Volume
31-Dec-14,9.75,9.84,9.56,9.71,663682
30-Dec-14,9.78,9.96,9.68,9.82,519492
29-Dec-14,9.63,9.92,9.62,9.78,356307
26-Dec-14,9.72,9.90,9.57,9.66,222335
24-Dec-14,9.65,9.75,9.60,9.67,235890
23-Dec-14,9.75,9.81,9.59,9.72,263768
22-Dec-14,10.05,10.06,9.61,9.71,322720
19-Dec-14,9.67,10.05,9.44,10.00,770221
18-Dec-14,9.85,10.00,9.41,9.62,444377
17-Dec-14,9.25,9.72,9.19,9.64,593058
16-Dec-14,8.73,9.31,8.67,9.11,364962
15-Dec-14,9.15,9.36,8.84,8.89,324946
12-Dec-14,9.16,9.38,9.11,9.16,400547
11-Dec-14,9.59,9.66,9.13,9.31,569640
10-Dec-14,9.85,10.09,9.54,9.56,554313
9-Dec-14,9.90,10.15,9.58,10.08,311115
8-Dec-14,9.85,10.01,9.60,9.71,555226
5-Dec-14,9.88,10.25,9.81,9.85,543909
4-Dec-14,10.41,10.41,9.76,9.82,926817
3-Dec-14,9.55,10.50,9.55,10.46,700171
2-Dec-14,9.30,9.92,9.30,9.50,511447
1-Dec-14,9.40,9.49,8.81,9.12,623533
28-Nov-14,9.87,9.87,9.47,9.52,327064
26-Nov-14,10.13,10.24,10.00,10.15,189282
25-Nov-14,10.29,10.39,10.08,10.17,300960
24-Nov-14,10.51,10.63,10.23,10.28,287144
21-Nov-14,10.95,10.97,10.26,10.60,937050
20-Nov-14,10.21,10.76,10.21,10.75,521851
19-Nov-14,10.20,10.40,10.11,10.26,287926
18-Nov-14,10.14,10.40,10.13,10.20,242533
17-Nov-14,10.15,10.29,10.04,10.12,270705
14-Nov-14,9.73,10.19,9.73,10.14,326987
13-Nov-14,10.35,10.35,9.64,9.69,534710
12-Nov-14,9.90,10.37,9.81,10.35,436931
11-Nov-14,10.06,10.13,9.96,9.99,365857
10-Nov-14,10.30,10.51,9.97,10.08,415149
7-Nov-14,10.38,10.47,10.12,10.31,524910
6-Nov-14,9.99,10.45,9.99,10.38,333253
5-Nov-14,9.80,10.06,9.49,10.01,1020433
4-Nov-14,10.44,10.52,9.72,9.84,700306
3-Nov-14,10.53,10.74,10.37,10.52,421840
31-Oct-14,10.50,10.58,10.31,10.53,598115
30-Oct-14,10.15,10.45,10.01,10.41,379830
29-Oct-14,10.30,10.49,10.17,10.23,422895
28-Oct-14,10.01,10.42,10.01,10.30,334184
27-Oct-14,9.89,10.07,9.79,9.97,391093
24-Oct-14,10.20,10.25,10.01,10.07,256039
23-Oct-14,10.23,10.37,10.09,10.17,391434
22-Oct-14,10.62,10.76,10.10,10.12,280044
21-Oct-14,10.51,10.78,10.47,10.60,274932
20-Oct-14,10.11,10.49,10.05,10.46,437004
17-Oct-14,10.49,10.51,9.99,10.18,364883
16-Oct-14,9.91,10.36,9.84,10.30,501102
15-Oct-14,9.46,10.10,9.33,10.00,595636
14-Oct-14,9.50,9.80,9.37,9.60,398344
13-Oct-14,9.69,9.82,9.40,9.47,428609
10-Oct-14,10.13,10.25,9.66,9.69,380104
9-Oct-14,10.27,10.30,9.92,10.22,523068
8-Oct-14,10.01,10.28,9.70,10.25,692290
7-Oct-14,9.91,10.05,9.80,10.00,562159
6-Oct-14,10.15,10.16,9.88,10.01,705246
3-Oct-14,10.08,10.22,9.91,10.16,280395
2-Oct-14,9.90,10.23,9.81,10.01,498839
1-Oct-14,10.12,10.22,9.82,9.91,417688
30-Sep-14,10.39,10.42,10.10,10.15,522850
29-Sep-14,10.19,10.41,10.01,10.37,535126
26-Sep-14,10.07,10.35,9.99,10.30,539081
25-Sep-14,10.28,10.38,9.98,10.07,560888
24-Sep-14,10.40,10.44,10.17,10.33,303585
23-Sep-14,10.40,10.66,10.16,10.27,281868
22-Sep-14,10.53,10.60,10.30,10.44,309281
19-Sep-14,10.65,10.73,10.12,10.60,797643
18-Sep-14,10.61,10.79,10.51,10.64,228498
17-Sep-14,10.67,10.88,10.53,10.61,220471
16-Sep-14,10.89,10.99,10.67,10.73,272199
15-Sep-14,10.92,11.11,10.90,10.96,326369
12-Sep-14,11.05,11.05,10.90,11.01,269573
11-Sep-14,11.08,11.14,10.88,11.02,267561
10-Sep-14,11.07,11.26,10.90,11.14,331513
9-Sep-14,11.23,11.30,11.00,11.07,307468
8-Sep-14,11.01,11.34,11.01,11.28,316440
5-Sep-14,11.14,11.26,10.90,11.04,433272
4-Sep-14,11.70,11.84,11.08,11.17,749263
3-Sep-14,12.25,12.25,11.61,11.64,547248
2-Sep-14,12.17,12.26,12.01,12.19,257013
29-Aug-14,11.85,12.30,11.77,12.16,323219
28-Aug-14,11.91,12.06,11.78,11.81,180636
27-Aug-14,11.79,12.03,11.57,11.99,275437
26-Aug-14,12.01,12.05,11.79,11.80,285022
25-Aug-14,11.92,12.01,11.80,11.97,292577
22-Aug-14,11.67,11.96,11.57,11.88,283467
21-Aug-14,11.89,11.93,11.66,11.71,274944
20-Aug-14,11.90,12.01,11.68,11.88,282150
19-Aug-14,11.94,12.08,11.90,11.96,361472
18-Aug-14,11.69,12.08,11.66,11.96,542358
15-Aug-14,11.65,11.78,11.37,11.64,276625
14-Aug-14,11.49,11.79,11.48,11.57,403213
13-Aug-14,11.44,11.50,11.19,11.48,341793
12-Aug-14,11.65,11.65,11.34,11.36,409870
