Date,Open,High,Low,Close,Volume
31-Dec-14,53.90,53.94,53.03,53.48,1929821
30-Dec-14,55.56,55.75,53.48,53.89,2920707
29-Dec-14,57.00,57.64,56.02,56.26,1366046
26-Dec-14,56.44,57.53,56.36,57.14,1193704
24-Dec-14,56.00,56.97,55.56,56.76,1326464
23-Dec-14,54.13,55.98,53.62,55.84,1886009
22-Dec-14,54.84,54.90,53.42,54.38,1760002
19-Dec-14,53.58,54.88,53.01,54.80,2540967
18-Dec-14,51.65,54.50,51.61,53.75,3578424
17-Dec-14,50.15,50.65,47.62,50.37,4132831
16-Dec-14,49.31,51.67,49.05,49.77,3224330
15-Dec-14,50.97,51.04,49.50,49.64,2007548
12-Dec-14,50.45,50.78,49.70,50.02,2111332
11-Dec-14,50.65,52.50,50.50,50.91,1950180
10-Dec-14,51.40,52.21,49.91,50.29,2137495
9-Dec-14,51.00,51.72,49.01,51.64,3083688
8-Dec-14,53.38,54.10,51.05,51.70,2450075
5-Dec-14,52.15,54.36,52.15,53.50,2645956
4-Dec-14,51.63,53.10,51.25,52.36,2246113
3-Dec-14,51.60,52.59,50.90,51.74,1957734
2-Dec-14,51.21,51.49,50.50,51.11,2420094
1-Dec-14,54.50,54.78,50.71,50.89,4094448
28-Nov-14,55.75,56.18,54.08,55.00,1860024
26-Nov-14,56.50,57.35,56.20,56.46,1563547
25-Nov-14,56.99,57.50,56.10,56.85,2566291
24-Nov-14,56.30,56.85,55.65,56.35,2024112
21-Nov-14,56.76,56.94,54.82,55.05,3199300
20-Nov-14,53.72,54.69,53.25,53.63,1964414
19-Nov-14,55.75,56.65,53.87,53.99,2318153
18-Nov-14,53.78,56.40,53.58,55.64,3024405
17-Nov-14,52.94,54.43,52.49,53.59,2280142
14-Nov-14,50.62,53.40,50.17,53.02,2526265
13-Nov-14,51.72,52.39,50.55,50.84,3490955
12-Nov-14,50.60,52.09,50.31,52.05,2574508
11-Nov-14,51.69,51.75,49.98,50.96,3302809
10-Nov-14,51.10,52.19,50.68,51.78,2345679
7-Nov-14,51.54,52.19,50.50,50.97,4477079
6-Nov-14,55.00,55.13,50.74,51.54,8141078
5-Nov-14,57.49,57.85,51.45,54.44,10757497
4-Nov-14,58.09,58.34,56.22,56.96,3006502
3-Nov-14,59.18,61.09,58.43,58.77,3124104
31-Oct-14,57.35,59.69,57.35,59.18,4395766
30-Oct-14,53.99,56.38,53.26,56.33,3816540
29-Oct-14,55.11,55.26,53.43,54.36,2939791
28-Oct-14,53.30,55.84,52.71,55.20,3638148
27-Oct-14,53.53,53.74,51.86,53.17,3270683
24-Oct-14,53.95,54.50,52.51,54.25,2826420
23-Oct-14,54.57,55.25,52.15,54.10,4699248
22-Oct-14,56.31,57.18,53.79,53.92,5069414
21-Oct-14,54.31,56.38,54.31,55.73,3510522
20-Oct-14,52.01,54.31,51.60,53.92,3823690
17-Oct-14,52.75,54.23,51.00,51.51,4881553
16-Oct-14,47.21,52.34,47.01,50.85,5099641
15-Oct-14,47.50,49.65,45.91,48.87,7918913
14-Oct-14,49.75,50.95,46.55,49.71,6205567
13-Oct-14,53.66,54.00,48.21,48.35,7614543
10-Oct-14,53.21,56.16,52.25,53.55,4951662
9-Oct-14,56.25,57.57,53.52,54.28,4600176
8-Oct-14,55.86,57.10,53.55,56.48,5893858
7-Oct-14,57.01,57.50,54.07,54.55,4627580
6-Oct-14,60.01,60.20,56.41,57.75,4807027
3-Oct-14,58.22,59.95,57.45,59.00,4017444
2-Oct-14,57.89,58.10,55.23,57.31,4808666
1-Oct-14,59.07,59.07,55.21,56.47,6537765
30-Sep-14,61.56,62.00,58.43,59.60,5322185
29-Sep-14,60.90,62.14,60.54,61.20,3809351
26-Sep-14,62.12,63.36,61.16,61.92,4749565
25-Sep-14,63.08,63.30,60.05,61.96,8088468
24-Sep-14,62.53,65.60,61.70,63.04,8617836
23-Sep-14,60.04,62.56,59.23,60.40,4635267
22-Sep-14,64.02,64.21,59.63,60.84,6308130
19-Sep-14,66.11,66.52,62.54,64.61,4698488
18-Sep-14,67.53,68.72,65.25,65.99,3434847
17-Sep-14,68.04,68.75,66.65,67.00,2864054
16-Sep-14,67.56,68.44,65.88,67.13,4258643
15-Sep-14,73.56,73.96,66.60,67.36,6430292
12-Sep-14,71.59,75.90,71.00,74.01,5474984
11-Sep-14,70.89,71.85,70.03,71.27,1925207
10-Sep-14,70.89,71.50,69.34,70.99,2237476
9-Sep-14,72.04,73.60,70.12,70.64,2752828
8-Sep-14,70.22,72.99,70.11,72.00,3283248
5-Sep-14,70.63,71.41,68.52,70.08,3431769
4-Sep-14,68.79,71.95,68.31,70.95,5583074
3-Sep-14,68.11,68.40,67.06,67.72,2916073
2-Sep-14,69.38,69.40,66.80,67.64,3295773
29-Aug-14,69.37,69.75,68.43,68.68,1597955
28-Aug-14,69.30,69.69,68.50,68.63,1958976
27-Aug-14,71.28,72.05,69.67,69.89,2069030
26-Aug-14,71.32,71.32,69.60,70.48,2820995
25-Aug-14,71.50,72.91,71.12,71.39,2110791
22-Aug-14,69.89,70.92,69.10,70.73,1964946
21-Aug-14,70.94,71.60,69.85,69.90,1856208
20-Aug-14,70.60,71.46,69.80,70.48,1584072
19-Aug-14,71.03,71.90,70.02,70.79,3107515
18-Aug-14,72.08,73.50,71.90,72.05,2601700
15-Aug-14,71.48,72.96,70.78,71.81,3386577
14-Aug-14,71.41,71.88,69.10,71.19,2625296
13-Aug-14,71.50,71.96,70.20,71.08,2960939
12-Aug-14,73.03,73.47,70.06,70.71,3963496
